optimizer,perturbation_type,mean_test_accuracy,mean_macro_f1,mean_training_time_seconds
Adam,clean,0.799,0.7897144594203988,12.050887280998722
AdamW,clean,0.799,0.7895294822788562,21.08103750599912
RMSProp,clean,0.795,0.7866196233392716,41.65851694599769
AdaGrad,clean,0.719,0.719022963648506,24.489561049998883
SGD,clean,0.148,0.0563386112925633,19.418733022997912
Adam,edge_removal,0.78325,0.7760170596669876,48.63619805075177
AdamW,edge_removal,0.78125,0.7711651110562443,86.07760659100131
RMSProp,edge_removal,0.78125,0.7729485357508158,53.886261130499406
AdaGrad,edge_removal,0.7135,0.7104632402547644,25.123036602250068
SGD,edge_removal,0.14125,0.05402642542141103,49.70108452175009
Adam,fake_edge_addition,0.7545,0.7432516206486246,84.94066643899896
RMSProp,fake_edge_addition,0.751,0.7411082726472119,51.50433566825086
AdamW,fake_edge_addition,0.728,0.7192942308020208,87.74027384900182
AdaGrad,fake_edge_addition,0.6495,0.6542859425690323,39.936316924000494
SGD,fake_edge_addition,0.2015,0.07436946446092398,72.22779619574976
Adam,feature_noise,0.54325,0.5399712882139588,23.69965946124921
RMSProp,feature_noise,0.539,0.5388996488210112,25.05632623549991
AdaGrad,feature_noise,0.5337500000000001,0.5283665507500622,16.09767476224897
AdamW,feature_noise,0.529,0.5260872649829579,29.07375422224959
SGD,feature_noise,0.18,0.11738673245135883,19.807134687750477
